Description,Real GDP of England at market prices,Real GDP of England at factor cost ,"Real UK GDP at market prices, geographically-consistent estimate based on post-1922 borders","Real UK GDP at factor cost, geographically-consistent estimate based on post-1922 borders","Index of real UK GDP at factor cost - based on changing political boundaries, ",Composite estimate of English and (geographically-consistent) UK real GDP at factor cost,HP-filter of log of real composite estimate of English and UK real GDP at factor cost,"Real UK gross disposable national income at market prices, constant border estimate",Real consumption,Real investment,Stockbuilding contribution,Real government consumption of goods and services,Export volumes,Import volumes,Nominal GDP of England at market prices,Nominal UK GDP at market prices,Nominal UK GDP at market prices.1,Population (GB+NI),Population (England),Employment,Unemployment rate,Average weekly hours worked,"Capital Services, whole economy",TFP growth,Labour productivity,Labour productivity.1,"Labour share, whole economy excluding rents",GDP deflator at market prices,Export prices,Import prices,Terms of Trade,$ Oil prices,Earnings per head,Consumer price index,Consumer price inflation,Real consumption wages,Wholesale/producer price index,Bank Rate,Bank Rate.1,10 year/medium-term government bond yields,Consols / long-term government bond yields,Mortgage rates,Corporate borrowing rate from banks,Corporate bond yields,Share prices,$/£ exchange rate,Real $/£ exchange rate,Nominal ERI,Real ERI,House price index,Credit ,Secured credit,Bank of England Balance sheet,Bank of England Balance sheet.1,Coin in circulation outside the Bank of England,Notes and coin in circulation,Monetary base,M1,Broad Money ,Public sector Total Managed Expenditure,Public sector Total Managed Expenditure.1,Public Sector Total Receipts,Public Sector Total Receipts.1,Public Sector Net Lending(+)/Borrowing(-),Public Sector Net Lending(+)/Borrowing(-).1,UK Public sector debt,UK Public sector debt.1,UK Public sector debt.2,Central Government Gross Debt,Central Government Gross Debt.1,Trade deficit,Trade deficit.1,Current account ,Current account .1,Current account deficit including estimated non-monetary bullion flows,Current account deficit including estimated non-monetary bullion flows.1
Units,"£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices","GB before 1801, GB+Ireland 1801-1920, GB + Northern Ireland after 1920.  Indexed to 100 in 1920",2013=100,approx. % difference from trend,"£mn, Chained Volume measure, 2013 prices.  Nominal GDI divided by private and public consumption deflator","£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices",pp contribution to GDP(E),"£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices. ","£mn, Chained Volume measure, 2013 prices.  ",£mn,£mn,£mn,000s,000s,000s,%,hours,"£mn, 2013 prices",%,"Real GDP per head, 2013 prices","Real GDP per hour, 2013 prices",share of GDP excluding rents,2013=100,2013=100,2013=100,2013=100,$ per barrel,"Average weekly earnings, £",2015=100,%,1900=100,2010=100,% end period,"%, calendar year average","%, calendar year average","%, calendar year average","%, calendar year average","%, calendar year average","%, calendar year average","April 1962=100, Year end",Calendar year average,"Calendar year average, 1913=100","Calendar year average, 1913=100","Calendar year average, 1913=100","Calendar year average, Jan 2015 =100","Year end, £mn","Year end, £mn",% of nominal GDP,% of nominal GDP,"Year end, £mn","Year end, £mn","Year end, £mn","Year end, £mn","Year end, £mn","Calendar year total, £mn",as a % of nominal GDP,"Calendar year total, £mn",as a % of nominal GDP,"Calendar year total, £mn",as a % of nominal GDP,"Calendar Year end nominal par value outstanding, £mn",as a % of nominal GDP: measure 1,as a % of nominal GDP: measure 2,"Financial year end, nominal par value £mn","Financial year end, market value £mn",£mn,as a % of nominal GDP,£mn,as a % of nominal GDP,£mn,as a % of nominal GDP
1209,,,,,,,,,,,,,,,,,,,3626,,,,,,,,,,,,,,0.034,0.08,,51.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,,,,,,,,,,,,,,,,,,,3656,,,,,,,,,,,,,,0.030,0.08,2.58,44.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,,,,,,,,,,,,,,,,,,,3686,,,,,,,,,,,,,,0.026,0.09,12.22,34.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,,,,,,,,,,,,,,,,,,,3717,,,,,,,,,,,,,,0.033,0.08,-12.32,49.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,,,,,,,,,,,,,,,,,,,3747,,,,,,,,,,,,,,0.037,0.08,-3.37,57.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,,,,,,,,,,,,,,,,,,,3778,,,,,,,,,,,,,,0.041,0.08,-3.37,66.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,,,,,,,,,,,,,,,,,,,3810,,,,,,,,,,,,,,0.038,0.08,6.34,57.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,,,,,,,,,,,,,,,,,,,3841,,,,,,,,,,,,,,0.035,0.09,6.34,49.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,3873,,,,,,,,,,,,,,0.034,0.10,15.78,41.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,,,,,,,,,,,,,,,,,,,3905,,,,,,,,,,,,,,0.029,0.12,16.62,30.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,,,,,,,,,,,,,,,,,,,3937,,,,,,,,,,,,,,0.036,0.11,-3.13,39.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,,,,,,,,,,,,,,,,,,,3970,,,,,,,,,,,,,,0.029,0.10,-12.67,36.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,,,,,,,,,,,,,,,,,,,3978,,,,,,,,,,,,,,0.030,0.11,11.96,33.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,,,,,,,,,,,,,,,,,,,3987,,,,,,,,,,,,,,0.033,0.09,-15.56,43.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,,,,,,,,,,,,,,,,,,,3995,,,,,,,,,,,,,,0.035,0.08,-15.56,54.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,,,,,,,,,,,,,,,,,,,4004,,,,,,,,,,,,,,0.036,0.09,10.33,50.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,,,,,,,,,,,,,,,,,,,4012,,,,,,,,,,,,,,0.032,0.13,49.66,30.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,,,,,,,,,,,,,,,,,,,4021,,,,,,,,,,,,,,0.032,0.12,-9.56,33.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,,,,,,,,,,,,,,,,,,,4029,,,,,,,,,,,,,,0.029,0.12,0.01,29.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,,,,,,,,,,,,,,,,,,,4038,,,,,,,,,,,,,,0.029,0.12,-1.81,30.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,,,,,,,,,,,,,,,,,,,4046,,,,,,,,,,,,,,0.029,0.12,-1.81,31.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,,,,,,,,,,,,,,,,,,,4055,,,,,,,,,,,,,,0.029,0.11,-1.81,31.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,,,,,,,,,,,,,,,,,,,4063,,,,,,,,,,,,,,0.029,0.11,-1.81,32.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,,,,,,,,,,,,,,,,,,,4072,,,,,,,,,,,,,,0.029,0.11,-1.81,33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,,,,,,,,,,,,,,,,,,,4081,,,,,,,,,,,,,,0.031,0.10,-5.97,38.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,,,,,,,,,,,,,,,,,,,4089,,,,,,,,,,,,,,0.031,0.10,0.85,37.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,,,,,,,,,,,,,,,,,,,4098,,,,,,,,,,,,,,0.030,0.10,0.85,36.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,,,,,,,,,,,,,,,,,,,4107,,,,,,,,,,,,,,0.030,0.10,-2.85,37.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,,,,,,,,,,,,,,,,,,,4115,,,,,,,,,,,,,,0.030,0.11,10.23,34.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,,,,,,,,,,,,,,,,,,,4124,,,,,,,,,,,,,,0.031,0.11,-2.84,35.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,,,,,,,,,,,,,,,,,,,4133,,,,,,,,,,,,,,0.031,0.11,-2.84,36.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,,,,,,,,,,,,,,,,,,,4142,,,,,,,,,,,,,,0.031,0.10,-2.84,37.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,,,,,,,,,,,,,,,,,,,4150,,,,,,,,,,,,,,0.031,0.10,-2.84,39.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,,,,,,,,,,,,,,,,,,,4159,,,,,,,,,,,,,,0.031,0.10,-2.84,40.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,,,,,,,,,,,,,,,,,,,4168,,,,,,,,,,,,,,0.032,0.09,-2.84,41.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,,,,,,,,,,,,,,,,,,,4177,,,,,,,,,,,,,,0.032,0.09,-2.84,43.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,,,,,,,,,,,,,,,,,,,4186,,,,,,,,,,,,,,0.032,0.09,-2.84,44.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,,,,,,,,,,,,,,,,,,,4195,,,,,,,,,,,,,,0.029,0.10,15.15,35.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,,,,,,,,,,,,,,,,,,,4203,,,,,,,,,,,,,,0.032,0.14,32.36,29.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,,,,,,,,,,,,,,,,,,,4212,,,,,,,,,,,,,,0.032,0.13,-1.27,29.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,,,,,,,,,,,,,,,,,,,4221,,,,,,,,,,,,,,0.031,0.10,-26.06,38.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,,,,,,,,,,,,,,,,,,,4230,,,,,,,,,,,,,,0.029,0.11,9.46,34.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,,,,,,,,,,,,,,,,,,,4237,,,,,,,,,,,,,,0.035,0.10,-6.64,42.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,,,,,,,,,,,,,,,,,,,4243,,,,,,,,,,,,,,0.030,0.10,2.82,36.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,,,,,,,,,,,,,,,,,,,4250,,,,,,,,,,,,,,0.032,0.12,14.95,33.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,,,,,,,,,,,,,,,,,,,4257,,,,,,,,,,,,,,0.031,0.09,-23.60,42.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,,,,,,,,,,,,,,,,,,,4263,,,,,,,,,,,,,,0.035,0.09,2.77,46.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,,,,,,,,,,,,,,,,,,,4270,,,,,,,,,,,,,,0.035,0.12,27.33,36.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,,,,,,,,,,,,,,,,,,,4277,,,,,,,,,,,,,,0.034,0.14,15.91,31.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,,,,,,,,,,,,,,,,,,,4284,,,,,,,,,,,,,,0.031,0.14,-1.67,28.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,,,,,,,,,,,,,,,,,,,4290,,,,,,,,,,,,,,0.035,0.13,-4.52,33.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,,,,,,,,,,,,,,,,,,,4297,,,,,,,,,,,,,,0.035,0.12,-10.82,38.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,,,,,,,,,,,,,,,,,,,4304,,,,,,,,,,,,,,0.034,0.12,6.00,34.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,,,,,,,,,,,,,,,,,,,4311,,,,,,,,,,,,,,0.040,0.12,1.35,39.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,,,,,,,,,,,,,,,,,,,4317,,,,,,,,,,,,,,0.036,0.11,-10.09,39.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,,,,,,,,,,,,,,,,,,,4324,,,,,,,,,,,,,,0.031,0.11,1.78,33.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,,,,,,,,,,,,,,,,,,,4331,,,,,,,,,,,,,,0.032,0.12,3.65,33.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,,,,,,,,,,,,,,,,,,,4338,,,,,,,,,,,,,,0.030,0.12,0.62,31.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,,,,,,,,,,,,,,,,,,,4344,,,,,,,,,,,,,,0.030,0.13,7.35,29.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,,,,,,,,,,,,,,,,,,,4351,,,,,,,,,,,,,,0.033,0.11,-14.57,37.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,,,,,,,,,,,,,,,,,,,4358,,,,,,,,,,,,,,0.031,0.13,19.28,29.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,3518,3066,,,,0.2400,-1.08,,,,,,,,4.42,,,,4365,,,,,,,,,0.12,,,,,0.029,0.13,-2.09,28.87,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
1271,3481,3034,,,,0.2375,-1.90,,,,,,,,4.77,,,,4372,,,,,,,,,0.14,,,,,0.030,0.16,26.09,23.04,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,
1272,3612,3148,,,,0.2464,2.02,,,,,,,,4.94,,,,4379,,,,,,,,,0.14,,,,,0.025,0.17,5.06,18.60,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,
1273,3407,2969,,,,0.2325,-3.55,,,,,,,,4.40,,,,4385,,,,,,,,,0.13,,,,,0.029,0.14,-17.02,25.65,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
1274,3394,2958,,,,0.2316,-3.59,,,,,,,,4.67,,,,4392,,,,,,,,,0.14,,,,,0.030,0.16,13.59,23.42,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,
